"STATISTIC","Quarter","Age at Death","UNIT","VALUE"
"Deaths Registered Provisional","1966Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1966Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1966Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1966Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1966Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1966Q4","1 to 4 Years","Number","63"
"Deaths Registered Provisional","1966Q4","5 to 14 Years","Number","53"
"Deaths Registered Provisional","1966Q4","15 to 24 Years","Number","54"
"Deaths Registered Provisional","1966Q4","25 to 34 Years","Number","79"
"Deaths Registered Provisional","1966Q4","35 to 44 Years","Number","186"
"Deaths Registered Provisional","1966Q4","45 to 54 Years","Number","514"
"Deaths Registered Provisional","1966Q4","55 to 64 Years","Number","1139"
"Deaths Registered Provisional","1966Q4","65 to 74 Years","Number","2054"
"Deaths Registered Provisional","1966Q4","75 Years and Over","Number","3533"
"Deaths Registered Provisional","1967Q1","Under 1 Year","Number","373"
"Deaths Registered Provisional","1967Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1967Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1967Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1967Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1967Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1967Q1","1 to 4 Years","Number","49"
"Deaths Registered Provisional","1967Q1","5 to 14 Years","Number","44"
"Deaths Registered Provisional","1967Q1","15 to 24 Years","Number","61"
"Deaths Registered Provisional","1967Q1","25 to 34 Years","Number","73"
"Deaths Registered Provisional","1967Q1","35 to 44 Years","Number","154"
"Deaths Registered Provisional","1967Q1","45 to 54 Years","Number","513"
"Deaths Registered Provisional","1967Q1","55 to 64 Years","Number","1078"
"Deaths Registered Provisional","1967Q1","65 to 74 Years","Number","1999"
"Deaths Registered Provisional","1967Q1","75 Years and Over","Number","3742"
"Deaths Registered Provisional","1967Q2","Under 1 Year","Number","416"
"Deaths Registered Provisional","1967Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1967Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1967Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1967Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1967Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1967Q2","1 to 4 Years","Number","46"
"Deaths Registered Provisional","1967Q2","5 to 14 Years","Number","56"
"Deaths Registered Provisional","1967Q2","15 to 24 Years","Number","63"
"Deaths Registered Provisional","1967Q2","25 to 34 Years","Number","78"
"Deaths Registered Provisional","1967Q2","35 to 44 Years","Number","170"
"Deaths Registered Provisional","1967Q2","45 to 54 Years","Number","483"
"Deaths Registered Provisional","1967Q2","55 to 64 Years","Number","1074"
"Deaths Registered Provisional","1967Q2","65 to 74 Years","Number","2079"
"Deaths Registered Provisional","1967Q2","75 Years and Over","Number","3436"
"Deaths Registered Provisional","1967Q3","Under 1 Year","Number","351"
"Deaths Registered Provisional","1967Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1967Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1967Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1967Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1967Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1967Q3","1 to 4 Years","Number","50"
"Deaths Registered Provisional","1967Q3","5 to 14 Years","Number","66"
"Deaths Registered Provisional","1967Q3","15 to 24 Years","Number","69"
"Deaths Registered Provisional","1967Q3","25 to 34 Years","Number","76"
"Deaths Registered Provisional","1967Q3","35 to 44 Years","Number","168"
"Deaths Registered Provisional","1967Q3","45 to 54 Years","Number","486"
"Deaths Registered Provisional","1967Q3","55 to 64 Years","Number","1009"
"Deaths Registered Provisional","1967Q3","65 to 74 Years","Number","1896"
"Deaths Registered Provisional","1967Q3","75 Years and Over","Number","3014"
"Deaths Registered Provisional","1967Q4","Under 1 Year","Number","356"
"Deaths Registered Provisional","1967Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1967Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1967Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1967Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1967Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1967Q4","1 to 4 Years","Number","55"
"Deaths Registered Provisional","1967Q4","5 to 14 Years","Number","48"
"Deaths Registered Provisional","1967Q4","15 to 24 Years","Number","84"
"Deaths Registered Provisional","1967Q4","25 to 34 Years","Number","77"
"Deaths Registered Provisional","1967Q4","35 to 44 Years","Number","140"
"Deaths Registered Provisional","1967Q4","45 to 54 Years","Number","511"
"Deaths Registered Provisional","1967Q4","55 to 64 Years","Number","1064"
"Deaths Registered Provisional","1967Q4","65 to 74 Years","Number","2041"
"Deaths Registered Provisional","1967Q4","75 Years and Over","Number","3454"
"Deaths Registered Provisional","1968Q1","Under 1 Year","Number","367"
"Deaths Registered Provisional","1968Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1968Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1968Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1968Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1968Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1968Q1","1 to 4 Years","Number","57"
"Deaths Registered Provisional","1968Q1","5 to 14 Years","Number","55"
"Deaths Registered Provisional","1968Q1","15 to 24 Years","Number","72"
"Deaths Registered Provisional","1968Q1","25 to 34 Years","Number","71"
"Deaths Registered Provisional","1968Q1","35 to 44 Years","Number","185"
"Deaths Registered Provisional","1968Q1","45 to 54 Years","Number","578"
"Deaths Registered Provisional","1968Q1","55 to 64 Years","Number","1283"
"Deaths Registered Provisional","1968Q1","65 to 74 Years","Number","2488"
"Deaths Registered Provisional","1968Q1","75 Years and Over","Number","4705"
"Deaths Registered Provisional","1968Q2","Under 1 Year","Number","341"
"Deaths Registered Provisional","1968Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1968Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1968Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1968Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1968Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1968Q2","1 to 4 Years","Number","48"
"Deaths Registered Provisional","1968Q2","5 to 14 Years","Number","37"
"Deaths Registered Provisional","1968Q2","15 to 24 Years","Number","72"
"Deaths Registered Provisional","1968Q2","25 to 34 Years","Number","64"
"Deaths Registered Provisional","1968Q2","35 to 44 Years","Number","166"
"Deaths Registered Provisional","1968Q2","45 to 54 Years","Number","467"
"Deaths Registered Provisional","1968Q2","55 to 64 Years","Number","1046"
"Deaths Registered Provisional","1968Q2","65 to 74 Years","Number","2121"
"Deaths Registered Provisional","1968Q2","75 Years and Over","Number","3852"
"Deaths Registered Provisional","1968Q3","Under 1 Year","Number","277"
"Deaths Registered Provisional","1968Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1968Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1968Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1968Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1968Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1968Q3","1 to 4 Years","Number","42"
"Deaths Registered Provisional","1968Q3","5 to 14 Years","Number","57"
"Deaths Registered Provisional","1968Q3","15 to 24 Years","Number","114"
"Deaths Registered Provisional","1968Q3","25 to 34 Years","Number","84"
"Deaths Registered Provisional","1968Q3","35 to 44 Years","Number","196"
"Deaths Registered Provisional","1968Q3","45 to 54 Years","Number","458"
"Deaths Registered Provisional","1968Q3","55 to 64 Years","Number","1110"
"Deaths Registered Provisional","1968Q3","65 to 74 Years","Number","1844"
"Deaths Registered Provisional","1968Q3","75 Years and Over","Number","2982"
"Deaths Registered Provisional","1968Q4","Under 1 Year","Number","281"
"Deaths Registered Provisional","1968Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1968Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1968Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1968Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1968Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1968Q4","1 to 4 Years","Number","46"
"Deaths Registered Provisional","1968Q4","5 to 14 Years","Number","62"
"Deaths Registered Provisional","1968Q4","15 to 24 Years","Number","69"
"Deaths Registered Provisional","1968Q4","25 to 34 Years","Number","80"
"Deaths Registered Provisional","1968Q4","35 to 44 Years","Number","170"
"Deaths Registered Provisional","1968Q4","45 to 54 Years","Number","501"
"Deaths Registered Provisional","1968Q4","55 to 64 Years","Number","1047"
"Deaths Registered Provisional","1968Q4","65 to 74 Years","Number","1915"
"Deaths Registered Provisional","1968Q4","75 Years and Over","Number","3390"
"Deaths Registered Provisional","1969Q1","Under 1 Year","Number","315"
"Deaths Registered Provisional","1969Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1969Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1969Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1969Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1969Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1969Q1","1 to 4 Years","Number","49"
"Deaths Registered Provisional","1969Q1","5 to 14 Years","Number","44"
"Deaths Registered Provisional","1969Q1","15 to 24 Years","Number","77"
"Deaths Registered Provisional","1969Q1","25 to 34 Years","Number","76"
"Deaths Registered Provisional","1969Q1","35 to 44 Years","Number","185"
"Deaths Registered Provisional","1969Q1","45 to 54 Years","Number","552"
"Deaths Registered Provisional","1969Q1","55 to 64 Years","Number","1323"
"Deaths Registered Provisional","1969Q1","65 to 74 Years","Number","2467"
"Deaths Registered Provisional","1969Q1","75 Years and Over","Number","4441"
"Deaths Registered Provisional","1969Q2","Under 1 Year","Number","334"
"Deaths Registered Provisional","1969Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1969Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1969Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1969Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1969Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1969Q2","1 to 4 Years","Number","57"
"Deaths Registered Provisional","1969Q2","5 to 14 Years","Number","50"
"Deaths Registered Provisional","1969Q2","15 to 24 Years","Number","71"
"Deaths Registered Provisional","1969Q2","25 to 34 Years","Number","79"
"Deaths Registered Provisional","1969Q2","35 to 44 Years","Number","174"
"Deaths Registered Provisional","1969Q2","45 to 54 Years","Number","523"
"Deaths Registered Provisional","1969Q2","55 to 64 Years","Number","1192"
"Deaths Registered Provisional","1969Q2","65 to 74 Years","Number","2194"
"Deaths Registered Provisional","1969Q2","75 Years and Over","Number","3735"
"Deaths Registered Provisional","1969Q3","Under 1 Year","Number","331"
"Deaths Registered Provisional","1969Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1969Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1969Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1969Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1969Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1969Q3","1 to 4 Years","Number","53"
"Deaths Registered Provisional","1969Q3","5 to 14 Years","Number","52"
"Deaths Registered Provisional","1969Q3","15 to 24 Years","Number","83"
"Deaths Registered Provisional","1969Q3","25 to 34 Years","Number","83"
"Deaths Registered Provisional","1969Q3","35 to 44 Years","Number","148"
"Deaths Registered Provisional","1969Q3","45 to 54 Years","Number","455"
"Deaths Registered Provisional","1969Q3","55 to 64 Years","Number","1027"
"Deaths Registered Provisional","1969Q3","65 to 74 Years","Number","1970"
"Deaths Registered Provisional","1969Q3","75 Years and Over","Number","3309"
"Deaths Registered Provisional","1969Q4","Under 1 Year","Number","312"
"Deaths Registered Provisional","1969Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1969Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1969Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1969Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1969Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1969Q4","1 to 4 Years","Number","54"
"Deaths Registered Provisional","1969Q4","5 to 14 Years","Number","54"
"Deaths Registered Provisional","1969Q4","15 to 24 Years","Number","86"
"Deaths Registered Provisional","1969Q4","25 to 34 Years","Number","77"
"Deaths Registered Provisional","1969Q4","35 to 44 Years","Number","173"
"Deaths Registered Provisional","1969Q4","45 to 54 Years","Number","502"
"Deaths Registered Provisional","1969Q4","55 to 64 Years","Number","1162"
"Deaths Registered Provisional","1969Q4","65 to 74 Years","Number","2034"
"Deaths Registered Provisional","1969Q4","75 Years and Over","Number","3605"
"Deaths Registered Provisional","1970Q1","Under 1 Year","Number","325"
"Deaths Registered Provisional","1970Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1970Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1970Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1970Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1970Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1970Q1","1 to 4 Years","Number","53"
"Deaths Registered Provisional","1970Q1","5 to 14 Years","Number","40"
"Deaths Registered Provisional","1970Q1","15 to 24 Years","Number","77"
"Deaths Registered Provisional","1970Q1","25 to 34 Years","Number","81"
"Deaths Registered Provisional","1970Q1","35 to 44 Years","Number","179"
"Deaths Registered Provisional","1970Q1","45 to 54 Years","Number","597"
"Deaths Registered Provisional","1970Q1","55 to 64 Years","Number","1457"
"Deaths Registered Provisional","1970Q1","65 to 74 Years","Number","2895"
"Deaths Registered Provisional","1970Q1","75 Years and Over","Number","4392"
"Deaths Registered Provisional","1970Q2","Under 1 Year","Number","351"
"Deaths Registered Provisional","1970Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1970Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1970Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1970Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1970Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1970Q2","1 to 4 Years","Number","56"
"Deaths Registered Provisional","1970Q2","5 to 14 Years","Number","64"
"Deaths Registered Provisional","1970Q2","15 to 24 Years","Number","83"
"Deaths Registered Provisional","1970Q2","25 to 34 Years","Number","71"
"Deaths Registered Provisional","1970Q2","35 to 44 Years","Number","198"
"Deaths Registered Provisional","1970Q2","45 to 54 Years","Number","509"
"Deaths Registered Provisional","1970Q2","55 to 64 Years","Number","1149"
